Hashtags,Text,FavCount,Language,Place,UserLocation,RetweetCount,Sentiment,Polarity
,This is as badass as badass can get. _Ÿ˜Å https://t.co/9S1fwqTaOH,0,en,,"Mumbai, India",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,This is bad ass! _Ÿ˜_ #WITBragDay https://t.co/8Tg0lF3F2J,14,en,,"Dublin, Ireland",4,"Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)",negative
WITBragDay,"00/ My life in tech existed because of many insanely awesome women in tech, #WITBragDay seems like a good time to sing their praisesâ€_",9,en,,"iPhone: -33.870449,151.203796",0,"Sentiment(polarity=0.7333333333333334, subjectivity=0.7000000000000001)",positive
,"_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚They are just playing with you small. It hasn't come to that yet https://t.co/P0FtR5tdhp",0,en,,Nigeria,0,"Sentiment(polarity=-0.25, subjectivity=0.4)",negative
WITBragDay WomensMonth,Follow #WITBragDay and be inspired or contribute your story to inspire #WomensMonth,5,en,"Westville, South Africa","KwaZulu-Natal, South Africa",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,_Ÿ”¥_Ÿ”¥ https://t.co/6FYkAUw1dM,0,und,,_Ÿ_”,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
MSc CognitiveScience softwareTesting WITBragDay,"I'm #MSc #CognitiveScience  _Ÿ_“ &amp; #softwareTesting Eng _Ÿê›_Ÿ“±_Ÿ’», lead @GirlsWhoTest  _Ÿ’›, speak &amp; organize &amp; inspire workshops, confs _Ÿ™Œ_Ÿ˜‡ #WITBragDay",8,en,,"PoznaÅ„,Poland",2,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,If this is not motivation..._Ÿ˜±_Ÿ˜±_Ÿ˜±_Ÿ˜± https://t.co/4U6cXdXTr6,3,en,,Nigeria,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,omg check out #WITBragDay inspiring,5,en,,,1,"Sentiment(polarity=0.5, subjectivity=1.0)",positive
,@tharindi_h is an awesome colleague https://t.co/pMRVIYLckh,1,en,,,0,"Sentiment(polarity=1.0, subjectivity=1.0)",positive
,Whoop! https://t.co/RFIGyhBh97,1,en,,Nigeria ,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,Oh is this where it all started? https://t.co/ySgq2ORwog,2,en,,Nigeria,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,Wow... This is extraordinary https://t.co/3VxNRXY3x3,1,en,,"Nairobi, Kenya",0,"Sentiment(polarity=0.21666666666666667, subjectivity=1.0)",positive
WITBragDay,#WITBragDay _Ÿ˜ç_Ÿ˜ç,2,und,,windhoek,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,"incase you haven't, check #WITBragDay and see what female devs are doing around the world, we're proud of y'all https://t.co/r5Taix7k4g",4,en,,Lagos Nigeria,1,"Sentiment(polarity=0.4, subjectivity=0.5833333333333334)",positive
WITBragDay Ireland,Spread the word about #WITBragDay. I want to hear from Tech women in #Ireland! @UCCCS @NigmaDublin @dcucomputing @ditcomputing @NUIGCompsoc https://t.co/vpi6srfRRc,9,en,,"Dublin, Ireland",4,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,_Ÿ’ª_Ÿ’ª_Ÿ’ª_Ÿ’ª_Ÿ’ª_Ÿ’ª_Ÿ‘è_Ÿ‘è_Ÿ‘è_Ÿ‘è https://t.co/YzzRGIxeYt,0,und,,Anywhere you need me to be.,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,My first IT project was in a women-only dev team. This was really something special and we were a very good team! #WITBragDay,3,en,,Bilthoven,0,"Sentiment(polarity=0.3767857142857143, subjectivity=0.42619047619047623)",positive
making,Thanks Julie...#making a difference from your workplace. https://t.co/ws5p1zAfjz,0,en,,"Port Harcourt, Nigeria",0,"Sentiment(polarity=0.2, subjectivity=0.2)",positive
,_Ÿ”¥ _Ÿ”¥ _Ÿ‘è https://t.co/T6lQVmHoeY,0,und,,"Lagos, Nigeria",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,#WITBragDay is such a delight to read. All you women are so inspiring! âù_ï¸è,3,en,,"Mumbai, India",1,"Sentiment(polarity=0.5, subjectivity=1.0)",positive
WITBragDay,RT nikhiljoisr: #WITBragDay is certainly the hash tag to watch out for today. So many great stories. Lots of positivity.,1,en,,"Pune, Maharashtra",0,"Sentiment(polarity=0.5047619047619047, subjectivity=0.6071428571428571)",positive
AbbyAirshow Shapovalov MiracleTreatDay WITBragDay GoogleDoodle CFLGameDay ARSLEI,https://t.co/Q9srJ42pGg Last King From GOD #AbbyAirshow #Shapovalov #MiracleTreatDay #WITBragDay #GoogleDoodle #CFLGameDay #ARSLEI https://t.co/XakCBwcyUl,0,en,,"Riyadh, Kingdom of Saudi Arabi",0,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",neutral
,_Ÿ˜® https://t.co/EDL3Pjavp6,0,und,"Lewisham, London","SE6, London",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,âœ”ï¸è https://t.co/arXO4iInSx,9,und,,"Nairobi, Kenya",4,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,â€œA Brief History of Women in Computingâ€ù by @KuraFire https://t.co/TjMhMgzcrW #WITBragDay,0,en,,_Ÿ‡µ_Ÿ‡_ _Ÿ‡__Ÿ‡ª,0,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)",neutral
WiTBragDay InspireTechGirls,@alicegoldfuss #WiTBragDay is amazing! Need to channel quotes to be referenced by girls to #InspireTechGirls check out @NextTechGirls support appreciated,2,en,,"London, England",0,"Sentiment(polarity=0.4, subjectivity=0.5)",positive
Gmail integration WITBragDay womenintech,Without the awesome code from @jewree @Xero wouldn't have been able to build their brilliant #Gmail #integration! #WITBragDay #womenintech https://t.co/SWkJjy0iLZ,8,en,,North Devon,3,"Sentiment(polarity=0.7999999999999999, subjectivity=0.875)",positive
WITBragDay,#WITBragDay Developer of scientific codes to simulate solar atmosphere..,8,en,,Germany,3,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,I bow before you in humble adoration. There are just no words to describe how awesome... _Ÿ™Œ_Ÿ™Œ_Ÿ™Œ_Ÿ˜±_Ÿ˜±_Ÿ˜±_Ÿ˜±_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥_Ÿ”¥ https://t.co/a07uWzyVl2,1,en,,Nigeria,0,"Sentiment(polarity=0.4, subjectivity=0.7)",positive
WITBragDay,"#WITBragDay Shout out to @Shipra_speaks from our dev team! Rock on, girl!",2,en,,India,1,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,#WITBragDay is super important for girls everywhere. So inspiring.,4,en,,"Lagos, Nigeria",3,"Sentiment(polarity=0.41111111111111115, subjectivity=0.8888888888888888)",positive
,You are doing amazing Baby Girl _Ÿ˜˜_Ÿ˜˜ https://t.co/gR9kNja4qw,1,en,,2349,0,"Sentiment(polarity=0.6000000000000001, subjectivity=0.9)",positive
WITBragDay,#WITBragDay women don't need to brag about their achievements in tech. They made programming.,2,en,,In my comfort zone. ,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,Very inspiring to read others stories #WITBragDay you can achieve anything when you put your mind to it.,3,en,,Cambridge,0,"Sentiment(polarity=0.65, subjectivity=1.0)",positive
WITBragDay passwordBragDay,#WITBragDay Social engineering at its finest. If I was that way inclined I would now have a list of targets. What's next #passwordBragDay,1,en,,,0,"Sentiment(polarity=0.016666666666666666, subjectivity=0.03333333333333333)",positive
,Thank you for making Gmail as it is. :D https://t.co/CbmY1j7ZtC,1,en,,"Norfolk, UK",0,"Sentiment(polarity=1.0, subjectivity=1.0)",positive
WITBragDay,RT @PedestrianPoet: RT @MaryBethMoore6: #WITBragDay I took my first ever programming course in 2011 at age 46 . I am now a tenure track proâ€_,0,en,,Pakistan,0,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",positive
,"This is amazing, let us know when you are back cc  @dorothyooko https://t.co/Qn08BUdeDH",1,en,,"Nairobi, Kenya",0,"Sentiment(polarity=0.30000000000000004, subjectivity=0.45)",positive
,Thank You! :) https://t.co/ThYjtEIDc7,0,en,,,0,"Sentiment(polarity=0.5, subjectivity=1.0)",positive
WITBragDay,"#WITBragDay Shout out to Shipra_speaks from our dev team! Rock on, girl!",2,en,,"Pune, Maharashtra",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay GoogleDoodle CFLGameDay ARSLEI FlashbackFriday Pirates TasteoftheDanforth,https://t.co/Q9srJ42pGg Last King From GOD #WITBragDay #GoogleDoodle #CFLGameDay #ARSLEI #FlashbackFriday #Pirates #TasteoftheDanforth https://t.co/ERfl8Dan5z,0,en,,"Riyadh, Kingdom of Saudi Arabi",0,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",neutral
,In case you thought you were too old to learn something new... https://t.co/oZwSujEWzT,1,en,,Mumbai,0,"Sentiment(polarity=0.11818181818181818, subjectivity=0.32727272727272727)",positive
WITBragDay,Cofounder of three of the fastest growing startups in Nigeria at 23. And gradually working to get more girls into tech. #WITBragDay,159,en,,"Lagos, Nigeria",100,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,The #WITBragDay is giving me so many good feels today. https://t.co/gzDbJfgEGy,9,en,,In Transit,1,"Sentiment(polarity=0.6, subjectivity=0.55)",positive
,This is hella precious! https://t.co/eIZyhncI2G,1,en,,"Houston,Texas",0,"Sentiment(polarity=0.5, subjectivity=1.0)",positive
WITBragDay,I work with women who could code circles around most male devs I know. #WITBragDay,19,en,,"Edinburgh, Scotland",1,"Sentiment(polarity=0.0, subjectivity=0.1)",neutral
Respect WITBragDay,#Respect #WITBragDay https://t.co/TamO342MLB,1,und,,India,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,"I discovered that the human fart contributes to global warming by approximately 2.3% #WITBragDay",0,en,,,0,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.2333333333333333)",negative
,"I love this tweet. Entering tech mid-life should be easy, with so many vacancies. Discrimination against age or gender has no place in tech. https://t.co/EBnB5Y2gwj",1,en,,Switzerland,2,"Sentiment(polarity=0.4777777777777778, subjectivity=0.6444444444444445)",positive
WomenInTech WeAreMarkLogic,Pretty impressed to be working with women like this @ptexpat #WomenInTech #WeAreMarkLogic https://t.co/0lu2UgzVDh,6,en,"Central Region, Singapore",Singapore,1,"Sentiment(polarity=0.625, subjectivity=1.0)",positive
WITBragday,If you only read one thread about #WITBragday this should be it. _Ÿ™‚ _Ÿ‘ç _Ÿ‘‡_Ÿ‘‡ Susan is awesome. https://t.co/9C7QCek2PB,4,en,,London,0,"Sentiment(polarity=1.0, subjectivity=1.0)",positive
WITBrag,Love this whole #WITBrag thread but this tweet especially âù_ï¸è https://t.co/sfLKeAjZnf,2,en,,Hertfordshire,0,"Sentiment(polarity=0.2333333333333333, subjectivity=0.6666666666666666)",positive
WITBragday,Brilliant by @sw thanks for sharing @FogelDavid #WITBragday https://t.co/Kgx80yVjow,5,en,"Richmond, London",London,0,"Sentiment(polarity=0.55, subjectivity=0.6)",positive
,Go Girl. _Ÿ‘ç_Ÿ‘ç_Ÿ‘ç https://t.co/lycdtBvmw1,0,en,,"Abuja, Nigeria",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,@ibivarley https://t.co/DrmYnnmhbc,1,und,,"Kumasi, Ghana",1,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
bmoviemaniacs HStansAreBeautiful seawheeze AbbyAirshow MiracleTreatDay WITBragDay,https://t.co/Q9srJ42pGg Last King From GOD #bmoviemaniacs #HStansAreBeautiful #seawheeze #AbbyAirshow #MiracleTreatDay #WITBragDay https://t.co/moFI21YuSR,0,en,,"Riyadh, Kingdom of Saudi Arabi",0,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",neutral
,Awesome! Here's to many more ;) ! https://t.co/jJtsQJf7Go,2,en,,,1,"Sentiment(polarity=0.5833333333333334, subjectivity=0.8333333333333334)",positive
WITBragDay,Some really amazing stories about Women in Tech! Follow hashtag #WITBragDay,1,en,,Austin Texas,0,"Sentiment(polarity=0.6000000000000001, subjectivity=0.9)",positive
WITBragDay WorldElephantDay EsteDiaPintaPara traffic mbpoli Iqaluit Ticats Argos Nazis,https://t.co/Q9srJ42pGg Last King From GOD #WITBragDay #WorldElephantDay #EsteDiaPintaPara #traffic #mbpoli #Iqaluit #Ticats #Argos #Nazis https://t.co/3IKLnxwp7e,0,en,,"Riyadh, Kingdom of Saudi Arabi",0,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",neutral
WITBragDay GoogleDoodle ARSLEI AlsMTL FlashbackFriday efmf2017 Pirates TasteoftheDanforth,https://t.co/Q9srJ42pGg Last King From GOD #WITBragDay #GoogleDoodle #ARSLEI #AlsMTL #FlashbackFriday #efmf2017 #Pirates #TasteoftheDanforth https://t.co/bvcMEMzoaZ,0,en,,"Riyadh, Kingdom of Saudi Arabi",0,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",neutral
